user_id,date,Joy,Surprise,Fear,Sadness,Disgust,Anger,Lat,Long,Wind,Temperature
Nima, new Date2013-10-27,0.97,0.8,0.97,0.8,NaN,NaN,13.5,76.5,117,0.028268551
Nima, new Date2013-10-28,0.97,0.8,0.97,0.8,NaN,NaN,13.5,76.5,123,0.019178082
Nima, new Date2013-10-29,0.952380952,0.75,0.952380952,0.75,0.6,0.6,12.85714287,72.8571429,86,0.00990099
Nima, new Date2013-10-30,0.956521739,0.75,0.956521739,0.75,NaN,1,11.73913047,74.34782613,83,0.015
Nima, new Date2013-10-31,0.956521739,0.75,0.956521739,0.75,NaN,NaN,11.73913047,74.34782613,60,0.006711409
Nima, new Date2013-11-01,0.958333333,0.75,0.958333333,0.75,NaN,1,11.25,74.99999997,232,0.011345219
Nima, new Date2013-11-02,0.958333333,0.75,0.958333333,0.75,NaN,NaN,11.25,74.99999997,267,0.013353116
Nima, new Date2013-11-03,0.958333333,0.75,0.958333333,0.75,NaN,NaN,11.25,74.99999997,153,0.018867925
Nima, new Date2013-11-04,0.958333333,0.75,0.958333333,0.75,NaN,NaN,11.25,74.99999997,68,0.009756098
Nima, new Date2013-11-05,0.928,0.64,0.958333333,0.75,NaN,0.2,10.8,72,85,0.013574661
Nima, new Date2013-11-06,0.933333333,0.64,0.961538462,0.75,NaN,1,9.99999999,73.33333335,133,0.017857143
Nima, new Date2013-11-07,0.933333333,0.64,0.961538462,0.75,NaN,NaN,9.99999999,73.33333335,92,0.022222222
Nima, new Date2013-11-08,0.935483871,0.666666667,0.96,0.76,0.8,0.95,11.61290322,72.58064517,183,0.009363296
Nima, new Date2013-11-09,0.935483871,0.666666667,0.96,0.76,NaN,NaN,11.61290322,72.58064517,164,0.02
Nima, new Date2013-11-10,0.9375,0.666666667,0.961290323,0.76,NaN,1,11.25,73.125,176,0.016227181
Nima, new Date2013-11-11,0.933333333,0.685714286,0.95625,0.766666667,0.8,0.8,13.63636368,70.90909092,67,0.017391304
Nima, new Date2013-11-12,0.92972973,0.675,0.95,0.742857143,0.6,0.9,12.16216215,70.54054056,211,0.014184397
Nima, new Date2013-11-13,0.931578947,0.675,0.951351351,0.742857143,NaN,1,11.84210523,71.05263156,101,0.017667845
